code,x,y
E06000001,-1.2555,54.6688
E06000002,-1.2228,54.5426
E06000003,-1.0215,54.5535
E06000004,-1.3290,54.5625
E06000005,-1.5527,54.5488
E06000006,-2.7200,53.3438
E06000007,-2.5628,53.3985
E06000008,-2.4671,53.6922
E06000009,-3.0355,53.8175
E06000010,-0.3364,53.7601
E06000011,-0.4822,53.8680
E06000012,-0.1339,53.5440
E06000013,-0.5921,53.5943
E06000014,-1.0606,53.9586
E06000015,-1.4683,52.9128
E06000016,-1.1276,52.6383
E06000017,-0.6541,52.6607
E06000018,-1.1759,52.9612
E06000019,-2.7457,52.1038
E06000020,-2.4885,52.7302
E06000021,-2.1652,53.0176
E06000022,-2.4744,51.3561
E06000023,-2.7702,51.4526
E06000024,-2.8000,51.3892
E06000025,-2.4712,51.5474
E06000026,-4.1202,50.3912
E06000027,-3.5305,50.4408
E06000030,-1.7443,51.5713
E06000031,-0.2538,52.6085
E06000032,-0.4245,51.8943
E06000033,0.7290,51.5376
E06000034,0.3741,51.5060
E06000035,0.5700,51.4257
E06000036,-0.7399,51.4078
E06000037,-1.3049,51.4497
E06000038,-0.9848,51.4532
E06000039,-0.5868,51.5082
E06000040,-0.6990,51.4851
E06000041,-0.8841,51.4293
E06000042,-0.7335,52.0843
E06000043,-0.1321,50.8433
E06000044,-1.0785,50.8207
E06000045,-1.3986,50.9170
E06000046,-1.2969,50.6757
E06000047,-1.8391,54.6954
E06000049,-2.3490,53.1806
E06000050,-2.7362,53.2001
E06000051,-2.7341,52.6358
E06000052,-4.8252,50.4056
E06000053,-6.2988,49.9207
E06000054,-1.9451,51.2973
E06000055,-0.4766,52.1893
E06000056,-0.4363,52.0067
E06000057,-2.0653,55.2427
E06000058,-1.8829,50.7467
E06000059,-2.3336,50.8060
E06000060,-0.8121,51.7852
E06000061,-0.6263,52.4251
E06000062,-1.0364,52.2230
E07000008,0.1315,52.1988
E07000009,0.2952,52.3429
E07000010,0.0611,52.5627
E07000011,-0.2206,52.3739
E07000012,0.0815,52.1731
E07000026,-3.2469,54.7114
E07000027,-3.2130,54.1257
E07000028,-2.8083,54.9710
E07000029,-3.3740,54.4142
E07000030,-2.6219,54.6129
E07000031,-2.8508,54.2925
E07000032,-1.4670,53.0295
E07000033,-1.2772,53.2152
E07000034,-1.4011,53.2554
E07000035,-1.6943,53.1287
E07000036,-1.3472,52.9352
E07000037,-1.8738,53.3733
E07000038,-1.4477,53.2261
E07000039,-1.5598,52.8308
E07000040,-3.2236,50.7641
E07000041,-3.5102,50.7218
E07000042,-3.5562,50.8758
E07000043,-3.9146,51.0697
E07000044,-3.8234,50.3735
E07000045,-3.6569,50.6063
E07000046,-4.2485,50.8859
E07000047,-4.0460,50.6559
E07000061,0.2655,50.7753
E07000062,0.5703,50.8695
E07000063,0.0053,50.8815
E07000064,0.5386,50.9518
E07000065,0.1979,50.9676
E07000066,0.4657,51.5903
E07000067,0.5901,51.9420
E07000068,0.3107,51.6385
E07000069,0.5937,51.5363
E07000070,0.4810,51.7254
E07000071,0.8614,51.8726
E07000072,0.1482,51.7088
E07000073,0.1089,51.7690
E07000074,0.7838,51.7092
E07000075,0.8101,51.5912
E07000076,1.1155,51.8713
E07000077,0.2795,51.9349
E07000078,-2.0729,51.8963
E07000079,-1.8925,51.8164
E07000080,-2.4898,51.8287
E07000081,-2.2404,51.8499
E07000082,-2.3001,51.7296
E07000083,-2.0880,51.9456
E07000084,-1.2012,51.2735
E07000085,-0.9548,51.0744
E07000086,-1.3279,50.9331
E07000087,-1.2262,50.8524
E07000088,-1.1588,50.8055
E07000089,-0.8979,51.2847
E07000090,-0.9898,50.8387
E07000091,-1.6255,50.8586
E07000092,-0.7676,51.2742
E07000093,-1.5110,51.1285
E07000094,-1.2214,51.0282
E07000095,-0.0483,51.7243
E07000096,-0.5410,51.7783
E07000098,-0.2807,51.6774
E07000099,-0.1924,51.9593
E07000102,-0.4608,51.6613
E07000103,-0.4028,51.6681
E07000105,0.8119,51.1252
E07000106,1.1014,51.2833
E07000107,0.2541,51.4314
E07000108,1.2892,51.2124
E07000109,0.3960,51.4056
E07000110,0.5806,51.2348
E07000111,0.1717,51.2760
E07000112,0.9957,51.0544
E07000113,0.8125,51.3417
E07000114,1.3404,51.3543
E07000115,0.3571,51.2730
E07000116,0.4309,51.1141
E07000117,-2.2214,53.7789
E07000118,-2.6482,53.6612
E07000119,-2.9223,53.7842
E07000120,-2.3896,53.7589
E07000121,-2.7146,54.0691
E07000122,-2.1856,53.8655
E07000123,-2.6973,53.8115
E07000124,-2.4451,53.9072
E07000125,-2.2669,53.6940
E07000126,-2.7107,53.7281
E07000127,-2.8825,53.6096
E07000128,-2.8537,53.9029
